"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","logSalePrice","GarageCars_f","pool_yn","porch_yn","Fence_f","WoodDeckSF_group","OpenPorchSF_group","EnclosedPorch_group","MiscVal_group","X2ndFlrSFDIV1st","TotalBath","BedroomAbvGr4plus","KitchenQual.Fac","KitchenQual.FacNum","TotRmsAbvGrd10plus","FireplaceY","GarageTypeY","GarageCars.Fac","GarageCars3plus","GarageCond.Fac","GarageCond.N","PavedDrive.Fac","PavedDriveY","MSSubClass_group","YearBuilt.b","YearRemodAdd.b","RoofStyleY","RoofMatl.n","Exterior1st.n","Exterior2nd.n","MasVnrType.n","MasVnrArea.b","ExterQual.n","ExterCond.n","Foundation.n","BsmtQual.n","BsmtCond.n","BsmtExposure.n","BsmtFinType1.n","BsmtFinSF1.b","BsmtFinType2.n","BsmtFinSF2.b","BsmtUnfSF.b","TotalBsmtSF.b","Heating.n","HeatingQC.n","CentralAir.n","Electrical.n"
"11",11,20,"RL",70,11200,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1965,1965,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Rec",906,"Unf",0,134,1040,"GasA","Ex","Y","SBrkr",1040,0,0,1040,1,0,1,0,3,1,"TA",5,"Typ",0,NA,"Detchd",1965,"Unf",1,384,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,2,2008,"WD","Normal",129500,11.7714361601217,"1",0,0,NA,"0-100SF","0-50SF","0-50SF","$0-$200",0,1,3,"TA",2,5,0,0,"1",2,"TA",3,"Y",1,"0-30",3,1,1,2,7,7,3,0,2,3,2,3,3,1,3,4,1,0,1,5,2,5,1,5
"12",12,60,"RL",85,11924,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","Ex","TA","No","GLQ",998,"Unf",0,177,1175,"GasA","Ex","Y","SBrkr",1182,1142,0,2324,1,0,3,0,4,1,"Ex",11,"Typ",2,"Gd","BuiltIn",2005,"Fin",3,736,"TA","TA","Y",147,21,0,0,0,0,NA,NA,NA,0,7,2006,"New","Partial",345000,12.7512996960135,"3",0,0,NA,"100-200SF","0-50SF","0-50SF","$0-$200",0.966159052453469,3,4,"Ex",4,10,1,1,"3",4,"TA",3,"Y",1,"30-60",4,5,1,2,15,16,4,1,4,3,3,5,3,1,6,4,1,0,1,5,2,5,1,5
"13",13,20,"RL",NA,12968,"Pave",NA,"IR2","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1962,1962,"Hip","CompShg","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",737,"Unf",0,175,912,"GasA","TA","Y","SBrkr",912,0,0,912,1,0,1,0,2,1,"TA",4,"Typ",0,NA,"Detchd",1962,"Unf",1,352,"TA","TA","Y",140,0,0,0,176,0,NA,NA,NA,0,9,2008,"WD","Normal",144000,11.8775685785581,"1",0,0,NA,"100-200SF","0-50SF","0-50SF","$0-$200",0,1,2,"TA",2,4,0,0,"1",2,"TA",3,"Y",1,"0-30",3,1,1,2,7,11,3,0,2,3,2,3,3,1,5,3,1,0,1,4,2,3,1,5
"14",14,20,"RL",91,10652,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",306,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,1494,1494,"GasA","Ex","Y","SBrkr",1494,0,0,1494,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2006,"RFn",3,840,"TA","TA","Y",160,33,0,0,0,0,NA,NA,NA,0,8,2007,"New","Partial",279500,12.5407575715773,"3",0,0,NA,"100-200SF","0-50SF","0-50SF","$0-$200",0,2,3,"Gd",3,7,1,1,"3",4,"TA",3,"Y",1,"0-30",4,5,1,2,13,14,4,2,3,3,3,4,3,3,1,0,1,0,6,6,2,5,1,5
"15",15,20,"RL",NA,10920,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","MetalSd","MetalSd","BrkFace",212,"TA","TA","CBlock","TA","TA","No","BLQ",733,"Unf",0,520,1253,"GasA","TA","Y","SBrkr",1253,0,0,1253,1,0,1,1,2,1,"TA",5,"Typ",1,"Fa","Attchd",1960,"RFn",1,352,"TA","TA","Y",0,213,176,0,0,0,NA,"GdWo",NA,0,5,2008,"WD","Normal",157000,11.9640010843304,"1",0,0,"GdWo","0-100SF","> 200SF","150-200SF","$0-$200",0,1.5,2,"TA",2,5,1,1,"1",2,"TA",3,"Y",1,"0-30",2,0,1,2,9,9,2,1,2,3,2,3,3,1,4,3,1,0,3,6,2,3,1,5
"16",16,45,"RM",51,6120,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,832,832,"GasA","Ex","Y","FuseA",854,0,0,854,0,0,1,0,2,1,"TA",5,"Typ",0,NA,"Detchd",1991,"Unf",2,576,"TA","TA","Y",48,112,0,0,0,0,NA,"GdPrv",NA,0,7,2007,"WD","Normal",132000,11.7905572015685,"2",0,0,"GdPrv","0-100SF","100-150SF","0-50SF","$0-$200",0,1,2,"TA",2,5,0,0,"2",3,"TA",3,"Y",1,"30-60",1,5,1,2,14,15,3,0,2,3,1,3,3,1,1,0,1,0,4,4,2,5,1,4
"17",17,20,"RL",NA,11241,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,7,1970,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,"TA","TA","CBlock","TA","TA","No","ALQ",578,"Unf",0,426,1004,"GasA","Ex","Y","SBrkr",1004,0,0,1004,1,0,1,0,2,1,"TA",5,"Typ",1,"TA","Attchd",1970,"Fin",2,480,"TA","TA","Y",0,0,0,0,0,0,NA,NA,"Shed",700,3,2010,"WD","Normal",149000,11.9117015849276,"2",0,0,NA,"0-100SF","0-50SF","0-50SF","$600-$800",0,1,2,"TA",2,5,1,1,"2",3,"TA",3,"Y",1,"0-30",3,1,1,2,14,15,2,1,2,3,2,3,3,1,5,3,1,0,2,5,2,5,1,5
"18",18,90,"RL",72,10791,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","Duplex","1Story",4,5,1967,1967,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","Slab",NA,NA,NA,NA,0,NA,0,0,0,"GasA","TA","Y","SBrkr",1296,0,0,1296,0,0,2,0,2,2,"TA",6,"Typ",0,NA,"CarPort",1967,"Unf",2,516,"TA","TA","Y",0,0,0,0,0,0,NA,NA,"Shed",500,10,2006,"WD","Normal",90000,11.4075649493124,"2",0,0,NA,"0-100SF","0-50SF","0-50SF","$400-$600",0,2,2,"TA",2,6,0,0,"2",3,"TA",3,"Y",1,"60-90",3,1,1,2,9,9,3,0,2,3,4,0,0,0,0,0,0,0,0,0,2,3,1,5
"19",19,20,"RL",66,13695,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story",5,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","GLQ",646,"Unf",0,468,1114,"GasA","Ex","Y","SBrkr",1114,0,0,1114,1,0,1,1,3,1,"Gd",6,"Typ",0,NA,"Detchd",2004,"Unf",2,576,"TA","TA","Y",0,102,0,0,0,0,NA,NA,NA,0,6,2008,"WD","Normal",159000,11.9766594812024,"2",0,0,NA,"0-100SF","100-150SF","0-50SF","$0-$200",0,1.5,3,"Gd",3,6,0,0,"2",3,"TA",3,"Y",1,"0-30",4,5,1,2,13,14,3,0,2,3,3,3,3,1,6,3,1,0,2,5,2,5,1,5
"20",20,20,"RL",70,7560,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1958,1965,"Hip","CompShg","BrkFace","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",504,"Unf",0,525,1029,"GasA","TA","Y","SBrkr",1339,0,0,1339,0,0,1,0,3,1,"TA",6,"Min1",0,NA,"Attchd",1958,"Unf",1,294,"TA","TA","Y",0,0,0,0,0,0,NA,"MnPrv",NA,0,5,2009,"COD","Abnorml",139000,11.8422292121128,"1",0,0,"MnPrv","0-100SF","0-50SF","0-50SF","$0-$200",0,1,3,"TA",2,6,0,1,"1",2,"TA",3,"Y",1,"0-30",2,1,1,2,4,11,3,0,2,3,2,3,3,1,2,3,1,0,3,5,2,3,1,5
"21",21,60,"RL",101,14215,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",380,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1158,1158,"GasA","Ex","Y","SBrkr",1158,1218,0,2376,0,0,3,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn",2005,"RFn",3,853,"TA","TA","Y",240,154,0,0,0,0,NA,NA,NA,0,11,2006,"New","Partial",325300,12.6925031124614,"3",0,0,NA,"200-300SF","150-200SF","0-50SF","$0-$200",1.05181347150259,3.5,4,"Gd",3,9,1,1,"3",4,"TA",3,"Y",1,"30-60",4,5,1,2,13,14,2,2,3,3,3,5,3,3,1,0,1,0,5,5,2,5,1,5
"22",22,45,"RM",57,7449,"Pave","Grvl","Reg","Bnk","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,637,637,"GasA","Ex","Y","FuseF",1108,0,0,1108,0,0,1,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd",1930,"Unf",1,280,"TA","TA","N",0,0,205,0,0,0,NA,"GdPrv",NA,0,6,2007,"WD","Normal",139400,11.8451027773086,"1",0,0,"GdPrv","0-100SF","0-50SF","> 200SF","$0-$200",0,1,3,"Gd",3,6,1,1,"1",2,"TA",3,"N",0,"30-60",1,0,1,2,14,15,3,0,2,3,3,3,3,1,1,0,1,0,3,3,2,5,1,3
"23",23,20,"RL",75,9742,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2002,2002,"Hip","CompShg","VinylSd","VinylSd","BrkFace",281,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1777,1777,"GasA","Ex","Y","SBrkr",1795,0,0,1795,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2002,"RFn",2,534,"TA","TA","Y",171,159,0,0,0,0,NA,NA,NA,0,9,2008,"WD","Normal",230000,12.3458345879053,"2",0,0,NA,"100-200SF","150-200SF","0-50SF","$0-$200",0,2,3,"Gd",3,7,1,1,"2",3,"TA",3,"Y",1,"0-30",4,5,1,2,13,14,2,1,3,3,3,4,3,1,1,0,1,0,8,8,2,5,1,5
"24",24,120,"RM",44,4224,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",840,"Unf",0,200,1040,"GasA","TA","Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1976,"Unf",2,572,"TA","TA","Y",100,110,0,0,0,0,NA,NA,NA,0,6,2007,"WD","Normal",129900,11.7745202026587,"2",0,0,NA,"0-100SF","100-150SF","0-50SF","$0-$200",0,1,3,"TA",2,6,1,1,"2",3,"TA",3,"Y",1,"90-200",3,2,1,2,6,6,3,0,2,3,3,4,3,1,6,4,1,0,1,5,2,3,1,5
"25",25,20,"RL",NA,8246,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,8,1968,2001,"Gable","CompShg","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","TA","Mn","Rec",188,"ALQ",668,204,1060,"GasA","Ex","Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"Gd",6,"Typ",1,"TA","Attchd",1968,"Unf",1,270,"TA","TA","Y",406,90,0,0,0,0,NA,"MnPrv",NA,0,5,2010,"WD","Normal",154000,11.9447078813958,"1",0,0,"MnPrv","> 400SF","50-100SF","0-50SF","$0-$200",0,1,3,"Gd",3,6,1,1,"1",2,"TA",3,"Y",1,"0-30",3,5,1,2,10,11,3,0,2,4,2,3,3,2,3,1,5,3,1,5,2,5,1,5
"26",26,20,"RL",110,14230,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",640,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1566,1566,"GasA","Ex","Y","SBrkr",1600,0,0,1600,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2007,"RFn",3,890,"TA","TA","Y",0,56,0,0,0,0,NA,NA,NA,0,7,2009,"WD","Normal",256300,12.4541039123522,"3",0,0,NA,"0-100SF","50-100SF","0-50SF","$0-$200",0,2,3,"Gd",3,7,1,1,"3",4,"TA",3,"Y",1,"0-30",4,5,1,2,13,14,4,3,3,3,3,4,3,1,1,0,1,0,7,7,2,5,1,5
"27",27,20,"RL",60,7200,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1951,2000,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Mn","BLQ",234,"Rec",486,180,900,"GasA","TA","Y","SBrkr",900,0,0,900,0,1,1,0,3,1,"Gd",5,"Typ",0,NA,"Detchd",2005,"Unf",2,576,"TA","TA","Y",222,32,0,0,0,0,NA,NA,NA,0,5,2010,"WD","Normal",134800,11.8115474774603,"2",0,0,NA,"200-300SF","0-50SF","0-50SF","$0-$200",0,1,3,"Gd",3,5,0,0,"2",3,"TA",3,"Y",1,"0-30",2,4,1,2,14,15,3,0,2,3,2,3,3,2,4,1,3,2,1,4,2,3,1,5
"28",28,20,"RL",98,11478,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","Ex","TA","No","GLQ",1218,"Unf",0,486,1704,"GasA","Ex","Y","SBrkr",1704,0,0,1704,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2008,"RFn",3,772,"TA","TA","Y",0,50,0,0,0,0,NA,NA,NA,0,5,2010,"WD","Normal",306000,12.6313403809345,"3",0,0,NA,"0-100SF","0-50SF","0-50SF","$0-$200",0,2,3,"Gd",3,7,1,1,"3",4,"TA",3,"Y",1,"0-30",4,5,1,2,13,14,4,1,3,3,3,5,3,1,6,5,1,0,2,7,2,5,1,5
"29",29,20,"RL",47,16321,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1957,1997,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Gd","BLQ",1277,"Unf",0,207,1484,"GasA","TA","Y","SBrkr",1600,0,0,1600,1,0,1,0,2,1,"TA",6,"Typ",2,"Gd","Attchd",1957,"RFn",1,319,"TA","TA","Y",288,258,0,0,0,0,NA,NA,NA,0,12,2006,"WD","Normal",207500,12.2428866186529,"1",0,0,NA,"200-300SF","> 200SF","0-50SF","$0-$200",0,1,2,"TA",2,6,1,1,"1",2,"TA",3,"Y",1,"0-30",2,4,1,2,9,9,3,0,2,3,2,3,3,4,4,6,1,0,1,6,2,3,1,5
